Step 41200: Accuracy(0.482066664), Loss(0.00816511542614)
Step 41300: Accuracy(0.483149995903), Loss(0.00810767151338)
Step 41400: Accuracy(0.482966664632), Loss(0.00814383321209)
Step 41500: Accuracy(0.484883330564), Loss(0.00810636150185)
Step 41600: Accuracy(0.482799996585), Loss(0.00816207060435)
Step 41700: Accuracy(0.48018332998), Loss(0.00814705659247)
Step 41800: Accuracy(0.48254999732), Loss(0.00809913496875)
Step 41900: Accuracy(0.479933330665), Loss(0.00820598865471)
Step 42000: Accuracy(0.48076666375), Loss(0.00813106371944)
Step 42100: Accuracy(0.479566663255), Loss(0.00808164023096)
Step 42200: Accuracy(0.481233330766), Loss(0.00816853696946)
Step 42300: Accuracy(0.477366664757), Loss(0.00814488792947)
Step 42400: Accuracy(0.483433330506), Loss(0.00812071170037)
Step 42500: Accuracy(0.480266663283), Loss(0.00810313259251)
Step 42600: Accuracy(0.484199996541), Loss(0.00812416489935)
Step 42700: Accuracy(0.480849996954), Loss(0.00815397471733)
Step 42800: Accuracy(0.483966663281), Loss(0.00814756293781)
Step 42900: Accuracy(0.483399997304), Loss(0.00812862166359)
Step 43000: Accuracy(0.483783329924), Loss(0.00807011748431)
Step 43100: Accuracy(0.485283329934), Loss(0.00807667976401)
Step 43200: Accuracy(0.48384999762), Loss(0.00815914441521)
Step 43300: Accuracy(0.483216664791), Loss(0.0081420164501)
Step 43400: Accuracy(0.483933330476), Loss(0.00808021040012)
Step 43500: Accuracy(0.480699996501), Loss(0.0081443892202)
Step 43600: Accuracy(0.48476666371), Loss(0.00810051777322)
Step 43700: Accuracy(0.483866662681), Loss(0.00816551076326)
