Step 42600: Accuracy(0.546499996781), Loss(0.0072716958976)
Step 42700: Accuracy(0.547899997383), Loss(0.00717691520151)
Step 42800: Accuracy(0.54518333137), Loss(0.00727819515703)
Step 42900: Accuracy(0.550449997534), Loss(0.00744184717536)
Step 43000: Accuracy(0.549183330238), Loss(0.00734452903504)
Step 43100: Accuracy(0.548799996078), Loss(0.00733881266477)
Step 43200: Accuracy(0.54888333107), Loss(0.00709799016748)
Step 43300: Accuracy(0.547516664714), Loss(0.00724451019351)
Step 43400: Accuracy(0.548166664541), Loss(0.00712840118523)
Step 43500: Accuracy(0.547166662862), Loss(0.00733372073621)
Step 43600: Accuracy(0.546649997781), Loss(0.00726998832077)
