Step 32600: Accuracy(0.534516664545), Loss(0.00726405599387)
Step 32700: Accuracy(0.536349997322), Loss(0.00721386708397)
Step 32800: Accuracy(0.532199996163), Loss(0.00733791694666)
Step 32900: Accuracy(0.534299996545), Loss(0.00729760731105)
Step 33000: Accuracy(0.535949997703), Loss(0.00743287853431)
Step 33100: Accuracy(0.536199997117), Loss(0.00723480588524)
Step 33200: Accuracy(0.534733330707), Loss(0.00727358968385)
Step 33300: Accuracy(0.538749997268), Loss(0.0072367669836)
Step 33400: Accuracy(0.534299997389), Loss(0.0073105701129)
Step 33500: Accuracy(0.533049997588), Loss(0.00730819403892)
Step 33600: Accuracy(0.531449996978), Loss(0.00725750612561)
Step 33700: Accuracy(0.535999996364), Loss(0.00732760349677)
Step 33800: Accuracy(0.536383330226), Loss(0.00726822608849)
Step 33900: Accuracy(0.53431666404), Loss(0.0072379840437)
Step 34000: Accuracy(0.534049997081), Loss(0.00728078585972)
Step 34100: Accuracy(0.535183330079), Loss(0.0072846010987)
Step 34200: Accuracy(0.534833329767), Loss(0.00723908282584)
Step 34300: Accuracy(0.534316663891), Loss(0.00727648492049)
Step 34400: Accuracy(0.527983329693), Loss(0.00741147735932)
Step 34500: Accuracy(0.534216663341), Loss(0.00723622624607)
Step 34600: Accuracy(0.53669999664), Loss(0.00722140128724)
Step 34700: Accuracy(0.536699996491), Loss(0.00724997218621)
Step 34800: Accuracy(0.53404999728), Loss(0.00724904542323)
Step 34900: Accuracy(0.53599999706), Loss(0.00720098380931)
Step 35000: Accuracy(0.531733329544), Loss(0.00728369547054)
Step 35100: Accuracy(0.534449997346), Loss(0.00731408437792)
Step 35200: Accuracy(0.535366663039), Loss(0.00730167433231)
Step 35300: Accuracy(0.538816663375), Loss(0.00727958799417)
Step 35400: Accuracy(0.537649996529), Loss(0.00719381701512)
Step 35500: Accuracy(0.535816663305), Loss(0.0072921552315)
Step 35600: Accuracy(0.535449997932), Loss(0.00725844777034)
Step 35700: Accuracy(0.534833330512), Loss(0.00721461516495)
Step 35800: Accuracy(0.536583330433), Loss(0.00724009790535)
Step 35900: Accuracy(0.535266663233), Loss(0.00725539844483)
Step 36000: Accuracy(0.531849996497), Loss(0.0072902044359)
Step 36100: Accuracy(0.535033330421), Loss(0.00721010319501)
Step 36200: Accuracy(0.535783329755), Loss(0.00722421977514)
Step 36300: Accuracy(0.534749996761), Loss(0.00729309380831)
Step 36400: Accuracy(0.533566663861), Loss(0.00727369923688)
Step 36500: Accuracy(0.530616665184), Loss(0.00734118308717)
Step 36600: Accuracy(0.533016662945), Loss(0.0072752757906)
Step 36700: Accuracy(0.537066663504), Loss(0.00724226923116)
Step 36800: Accuracy(0.536116663416), Loss(0.00730837649666)
Step 36900: Accuracy(0.538399996559), Loss(0.00725831114842)
Step 37000: Accuracy(0.535583331784), Loss(0.0072275159182)
Step 37100: Accuracy(0.533183330049), Loss(0.00726204218731)
Step 37200: Accuracy(0.533999997526), Loss(0.00727700169741)
Step 37300: Accuracy(0.535299997131), Loss(0.00722677893238)
Step 37400: Accuracy(0.537899996489), Loss(0.00724942020218)
Step 37500: Accuracy(0.536149996569), Loss(0.00728579208255)
Step 37600: Accuracy(0.534966663768), Loss(0.00728009552074)
Step 37700: Accuracy(0.537799997777), Loss(0.00728576223832)
Step 37800: Accuracy(0.533199996799), Loss(0.0072268634142)
Step 37900: Accuracy(0.536149996718), Loss(0.00727944396591)
Step 38000: Accuracy(0.535433329592), Loss(0.00731056608958)
Step 38100: Accuracy(0.538083330641), Loss(0.0072949719592)
Step 38200: Accuracy(0.533199997991), Loss(0.00726802062942)
Step 38300: Accuracy(0.533499996215), Loss(0.00724250948522)
Step 38400: Accuracy(0.535433330884), Loss(0.00724902300086)
Step 38500: Accuracy(0.53514999792), Loss(0.00726672169442)
Step 38600: Accuracy(0.536399997771), Loss(0.00726176575602)
Step 38700: Accuracy(0.53664999793), Loss(0.00723509100964)
Step 38800: Accuracy(0.535216664175), Loss(0.00728341703303)
Step 38900: Accuracy(0.534766663412), Loss(0.00730073546215)
Step 39000: Accuracy(0.531499995987), Loss(0.00740452444258)
Step 39100: Accuracy(0.536649996787), Loss(0.0072913459052)
Step 39200: Accuracy(0.535966663559), Loss(0.00727826828447)
Step 39300: Accuracy(0.536649997731), Loss(0.00724727100227)
Step 39400: Accuracy(0.539083330284), Loss(0.00743122345923)
Step 39500: Accuracy(0.537583330224), Loss(0.00724215691599)
Step 39600: Accuracy(0.53929999734), Loss(0.00719785658953)
Step 39700: Accuracy(0.532299996416), Loss(0.00735572049084)
Step 39800: Accuracy(0.537899996837), Loss(0.00721640992754)
