Step 36000: Accuracy(0.475483329594), Loss(0.0081727578165)
Step 36100: Accuracy(0.475349997928), Loss(0.00816283850853)
Step 36200: Accuracy(0.477583329529), Loss(0.00813926537987)
Step 36300: Accuracy(0.475799996903), Loss(0.00817216096912)
Step 36400: Accuracy(0.47428333059), Loss(0.00828454160675)
Step 36500: Accuracy(0.477749996086), Loss(0.00812486217512)
Step 36600: Accuracy(0.473849996825), Loss(0.00813748513969)
Step 36700: Accuracy(0.478399997006), Loss(0.00812539623041)
Step 36800: Accuracy(0.478933330129), Loss(0.00813936147606)
Step 36900: Accuracy(0.478183330844), Loss(0.0081322067976)
Step 37000: Accuracy(0.477283330262), Loss(0.00813941492932)
Step 37100: Accuracy(0.473333330005), Loss(0.00816641625327)
Step 37200: Accuracy(0.476583330284), Loss(0.00814557249192)
Step 37300: Accuracy(0.47746666352), Loss(0.00812058489459)
Step 37400: Accuracy(0.47673333029), Loss(0.00816296278654)
Step 37500: Accuracy(0.473316663057), Loss(0.00814055704512)
Step 37600: Accuracy(0.473883330623), Loss(0.00817124943404)
Step 37700: Accuracy(0.473633330713), Loss(0.00813094603984)
Step 37800: Accuracy(0.477183330903), Loss(0.00813122362364)
Step 37900: Accuracy(0.473983330379), Loss(0.00814699471074)
Step 38000: Accuracy(0.475016663919), Loss(0.00816440418828)
Step 38100: Accuracy(0.475583330443), Loss(0.00816650644954)
Step 38200: Accuracy(0.477949997038), Loss(0.00815106438085)
Step 38300: Accuracy(0.477966663589), Loss(0.00812525911878)
Step 38400: Accuracy(0.475733330498), Loss(0.00815433039408)
Step 38500: Accuracy(0.474999996722), Loss(0.00815067534257)
Step 38600: Accuracy(0.478499998401), Loss(0.00811319417243)
Step 38700: Accuracy(0.478366663307), Loss(0.00815378038057)
Step 38800: Accuracy(0.476499997427), Loss(0.00813922587627)
Step 38900: Accuracy(0.476599996686), Loss(0.00812059917177)
Step 39000: Accuracy(0.475449996988), Loss(0.00813695584967)
Step 39100: Accuracy(0.476266662925), Loss(0.00810997888058)
Step 39200: Accuracy(0.474216663589), Loss(0.00815546439029)
Step 39300: Accuracy(0.474933330218), Loss(0.00812451630908)
Step 39400: Accuracy(0.473749997318), Loss(0.00813007157218)
Step 39500: Accuracy(0.474466663649), Loss(0.00813332207501)
Step 39600: Accuracy(0.473566663514), Loss(0.00813353175065)
Step 39700: Accuracy(0.474683329761), Loss(0.0081758635429)
Step 39800: Accuracy(0.477766663531), Loss(0.00815160058284)
Step 39900: Accuracy(0.477649997224), Loss(0.0081215309732)
Step 40000: Accuracy(0.476116664211), Loss(0.00813192287926)
Step 40100: Accuracy(0.47621666342), Loss(0.00816240869928)
Step 40200: Accuracy(0.476299997568), Loss(0.0081448775134)
Step 40300: Accuracy(0.479199997981), Loss(0.00810775915471)
Step 40400: Accuracy(0.479199997137), Loss(0.00810775916325)
Step 40500: Accuracy(0.479516664098), Loss(0.00810076490665)
Step 40600: Accuracy(0.478216663102), Loss(0.00812267636958)
Step 40700: Accuracy(0.477399997115), Loss(0.00813684153759)
Step 40800: Accuracy(0.478349996905), Loss(0.00811113185482)
Step 40900: Accuracy(0.479533330003), Loss(0.00811067580245)
Step 41000: Accuracy(0.476666664084), Loss(0.00809658210414)
Step 41100: Accuracy(0.478399997552), Loss(0.00810293700391)
Step 41200: Accuracy(0.477866664082), Loss(0.0080971251009)
Step 41300: Accuracy(0.479149997085), Loss(0.008106938079)
Step 41400: Accuracy(0.478633330017), Loss(0.00810511269762)
Step 41500: Accuracy(0.478533330361), Loss(0.00812341732982)
Step 41600: Accuracy(0.475349996934), Loss(0.00811328915879)
Step 41700: Accuracy(0.479099995792), Loss(0.008101062101)
Step 41800: Accuracy(0.480916664203), Loss(0.00809474314408)
Step 41900: Accuracy(0.47863333106), Loss(0.00810177829815)
Step 42000: Accuracy(0.47829999735), Loss(0.00809150688273)
Step 42100: Accuracy(0.477116663555), Loss(0.00811523374248)
Step 42200: Accuracy(0.476366663923), Loss(0.0081266977087)
Step 42300: Accuracy(0.478316663603), Loss(0.0080991315213)
Step 42400: Accuracy(0.477616663327), Loss(0.00811141200286)
Step 42500: Accuracy(0.47844999671), Loss(0.00810408452526)
Step 42600: Accuracy(0.47979999731), Loss(0.00810504075683)
Step 42700: Accuracy(0.476049996912), Loss(0.00811186857599)
Step 42800: Accuracy(0.478049996942), Loss(0.00809508870356)
Step 42900: Accuracy(0.476583330284), Loss(0.00808944651081)
Step 43000: Accuracy(0.478149996946), Loss(0.00811146438743)
Step 43100: Accuracy(0.480866662512), Loss(0.00810960510901)
Step 43200: Accuracy(0.479616663506), Loss(0.00810631775918)
Step 43300: Accuracy(0.478633330464), Loss(0.00810458043125)
Step 43400: Accuracy(0.480749996305), Loss(0.00812504936708)
Step 43500: Accuracy(0.478933331122), Loss(0.00812155155543)
Step 43600: Accuracy(0.477966664235), Loss(0.00809741149191)
